Name,Popularity,Teaching Ability
Dr. Emily Johnson,HIGH,BAD
Professor David Lee,LOW,GOOD
Dr. Maria Rodriguez,LOW,BAD
Professor Jonathan Kim,HIGH,AVERAGE
Dr. Karen Chen,MEDIUM,GOOD
Professor Thomas Wilson,HIGH,AVERAGE
Dr. Samantha Smith,HIGH,GOOD
Professor Michael Brown,LOW,GOOD
Dr. Jessica Garcia,MEDIUM,BAD
Professor Eric Davis,MEDIUM,AVERAGE
Dr. Rachel Patel,MEDIUM,BAD
Professor John Smith,LOW,GOOD
Dr. Elizabeth Taylor,HIGH,BAD
Professor William Chen,MEDIUM,BAD
Dr. Andrew Miller,MEDIUM,GOOD
Professor Sarah Thompson,HIGH,AVERAGE
Dr. James Davis,HIGH,BAD
Professor Rachel Kim,LOW,BAD
Dr. Christopher Lee,LOW,AVERAGE
Professor Laura Hernandez,MEDIUM,AVERAGE
